mask,£kA,£kB,£kA1,£kB1,£kA0,£kB0,£kA11,£kB11,£kA10,£kB10,£kA01,£kB01,£kA00,£kB00,S,I,D,Un,Uphi,Un-Uphi
0.30000000000000004,3.8356281216e-08,0.4285971145,0.43635517953,4.6824754845e-08,0.1601877532,0.62997763146,0.48345936998,0.44629274724,0.50373290598,2.8303725661e-07,7.9097706034e-07,1.2434445391e-07,0.99999969478,0.32506409243,0.95111740406,1.0348608847e-27,0.0006745798239,1.9800937403970797,0.9943921223011176,0.9857016180959621
0.31,3.9320334179e-08,0.44930228836,0.43633714993,4.8294563086e-08,0.21219489297,0.64281257501,0.4835465985,0.44626969218,0.50359984191,2.8938580886e-07,6.1330463547e-07,1.3777256674e-07,0.99999966072,0.48507606141,0.95332285065,1.0236656367e-27,0.00064414466108,2.0060973027228033,1.0307482638553818,0.9753490388674215
0.32,4.0389187884e-08,0.4706164377,0.43629279909,4.9907105024e-08,0.26420207329,0.65418426622,0.48362879632,0.44624004916,0.50345637052,2.9641590948e-07,5.0689594482e-07,1.5354978009e-07,0.99999962012,0.67961654178,0.95540944487,1.0090093959e-27,0.00061534966085,2.0321008844969883,1.0674089117632288,0.9646919727337595
0.33,4.1565922336e-08,0.49256683007,0.43622367823,5.1668110154e-08,0.31620929268,0.66383445918,0.4837067649,0.44620706114,0.50330171653,3.0415365701e-07,4.3664692655e-07,1.7224134549e-07,0.99999957127,0.91355902424,0.9573826916,9.9121206602e-28,0.00058811885588,2.0581044848720573,1.104387698863587,0.9537167860084703
0.33999999999999997,5.1973820585e-08,0.51518238103,0.44113734037,7.8303689306e-08,0.36821616829,0.67144071235,0.48888138925,0.45082053906,0.5151516523,0.059187803581,7.1078631015e-07,3.2826684633e-07,0.99999975936,0.99999896583,0.95911501974,9.7418920761e-28,0.00056421272753,2.0841080492634196,1.1416990300015417,0.9424090192618779
0.35,5.3138101046e-08,0.53849379966,0.44130545834,8.0635484505e-08,0.42022343603,0.67659344384,0.48896929,0.45085804568,0.51504433094,0.14321825054,6.4129420417e-07,3.7013769737e-07,0.99999972847,0.99999881062,0.96069780082,9.5685521538e-28,0.00054237034864,2.1101116799605313,1.1793583612993286,0.9307533186612027
0.36,5.4364031164e-08,0.56253369987,0.44551763631,8.4299012424e-08,0.47223073576,0.67876722427,0.48175706768,0.42437429969,0.52005667375,0.22258040357,5.8823008627e-07,4.2115600738e-07,0.99999969064,0.99999863757,0.96220358476,9.3775978214e-28,0.00052159053038,2.136115326571708,1.217381948437932,0.9187333781337761
0.37,5.5789576128e-08,0.58733677117,0.44157115891,8.5845141663e-08,0.52423806592,0.67727452812,0.48912886678,0.45092082361,0.51480860848,0.29765276752,5.46737503e-07,4.8437113409e-07,0.99999964353,0.99999844838,0.96363573943,9.1711762799e-28,0.00050182679582,2.1621189878257345,1.2557871349204197,0.9063318529053148
0.38,5.72843136e-08,0.61293994126,0.44166781433,8.8736609265e-08,0.5762454247,0.6711986151,0.48920100714,0.45094983939,0.51467900411,0.36877400909,5.1373193147e-07,5.6433496061e-07,0.99999958362,0.99999824593,0.964997514,8.951404902e-28,0.00048303430674,2.1881226632509696,1.2945923839494058,0.8935302793015638
0.39,5.8897971892e-08,0.63938255919,0.44173932775,9.1829438319e-08,0.62825281046,0.65928934797,0.48926837833,0.45098001925,0.51454079158,0.43624805706,4.87148193e-07,6.6815715753e-07,0.99999950546,0.99999803543,0.96629204034,8.7203492548e-28,0.00046516984334,2.2141263518493624,1.333817368990886,0.8803089828584763
