,m0,m1,m2,p,q,ICphi,ICn,πB,πA,πA0,πB0,πA1,πB1,S3,I3,D_vals,Uphi,Un,Ud
26,0.36,0.36,0.414,1,0,0.04883188028087759,-0.35298437449381237,0.5625427566845659,0.0,1.0,0.19309971457190284,0,0.0,0.9616407512612754,0.01606024469429701,0.0006210121467370687,0.7341823161966142,1.9,1.1658176838033856
27,0.37,0.37,0.4255,1,0,0.09507641217454088,-0.3244566086836893,0.587346229201522,0.0,1.0,0.21373162771329765,0,0.0,0.9631492901108984,0.014989876842914302,0.0005942965375156927,0.7665534885221785,1.9,1.1334465114778214
28,0.38,0.38,0.43699999999999994,1,0,0.14281268888102838,-0.295008606644082,0.6129498137351542,0.0,1.0,0.237802700753082,0,0.0,0.9645870537783008,0.013978954480209829,0.0005688594228309779,0.7999688822167198,1.9,1.10003111778328
29,0.39,0.39,0.44849999999999995,1,0,0.19211407489937415,-0.2645951108554647,0.6393928600567744,0.0,1.0,0.26625104844811753,0,0.0,0.9659562632023178,0.013025396384540106,0.0005446627739600076,0.8344798524295619,1.9,1.065520147570438
30,0.4,0.4,0.45999999999999996,1,0,0.24305882569521486,-0.2331678466303435,0.6667173412557819,0.0,1.0,0.3003901027767209,0,0.0,0.9672591136859643,0.012127147069289046,0.0005216686702242896,0.8701411779866504,1.9,1.0298588220133496
31,0.41000000000000003,0.41000000000000003,0.4715,1,0,0.29573050218948427,-0.2006752664210556,0.6949680760547556,0.0,1.0,0.34211716653933416,0,0.0,0.9684977745020005,0.01128217717730091,0.0004998393304886569,0.9070113515326389,1.9,0.992988648467361
32,0.42000000000000004,0.42000000000000004,0.483,1,0,0.3502184281252496,-0.16706226767665022,0.7241929741226597,0.0,1.0,0.39427841932153,0,0.0,0.9696743885037522,0.010488483870062008,0.0004791371437934,0.9451528996876747,1.9,0.9548471003123252
33,0.43000000000000005,0.43000000000000005,0.4945,1,0,0.40661819557842493,-0.13226988100049675,0.7544433072104901,0.0,1.0,0.4613468706638836,0,0.0,0.9707910717411896,0.009744091211620075,0.000459524699099746,0.9846327369048974,1.9,0.9153672630951025
34,0.44000000000000006,0.44000000000000006,0.506,1,0,0.4650322246303462,-0.09623492489620489,0.7857740093371716,0.0,1.0,0.5507784811803266,0,0.0,0.9718499130822831,0.009047050547229884,0.000440964814132358,1.0255225572412423,1.9,0.8744774427587576
35,0.45000000000000007,0.45000000000000007,0.5175000000000001,1,0,0.5255703840955388,-0.058889622849465084,0.8182440097230052,0.0,1.0,0.6759962477180664,0,0.0,0.9728529738396414,0.008395440876714204,0.0004234205633059809,1.0678992688668771,1.9,0.8321007311331228
