m,p,q,ICphi,ICn,πB,πA,πA0,πB0,πA1,πB1,S4,I4,D_vals,Uphi,Un,Ud
0.37,1,0,0.008800571326142759,-0.41110975177358644,0.5878744523396207,0.0,1.0,0.0024647729133986562,0.0,0.0,0.9634951266430004,0.013032977234741847,0.0006436140262493418,0.7061603999282999,1.9,1.1938396000717
0.38,1,0,0.052773847347886926,-0.3854411977701391,0.6135010631652363,0.0,1.0,0.0027367192088209253,0.0,0.0,0.9648762391284035,0.012123509427996771,0.0006171859169387265,0.7369416931435208,1.9,1.1630583068564793
0.39,1,0,0.0981887451496104,-0.3589311768069845,0.6399678907392328,0.0,1.0,0.0030578729659507015,0.0,0.0,0.9661937986798401,0.011264974037412855,0.0005920038342126782,0.7687321216047273,1.9,1.1312678783952728
0.4,1,0,0.14511734582512958,-0.3315376155313199,0.667316945899029,0.0,1.0,0.0034430325065595447,0.0,0.0,0.9674497573432347,0.010455581950605879,0.0005680305323616387,0.8015821420775907,1.9,1.098417857922409
0.41000000000000003,1,0,0.19363661732207893,-0.3032155881596439,0.6955930876744116,0.0,1.0,0.003913591044445289,0.0,0.0,0.9686460445705993,0.009693566764587843,0.0005452289802292383,0.8355456321254552,1.9,1.0644543678745446
0.42000000000000004,1,0,0.24382883572241254,-0.2739170705785585,0.7248442688213591,0.0,1.0,0.004501671089228563,0.0,0.0,0.9697845668808504,0.008977185124950108,0.0005235623845936339,0.8706801850056888,1.9,1.0293198149943112
0.43000000000000005,1,0,0.29578205086822074,-0.24359066856144596,0.7551218072015329,0.0,1.0,0.005257815007157068,0.0,0.0,0.9708672075253189,0.008304717060352991,0.0005029942128622054,0.9070474356077545,1.9,0.9929525643922454
0.44000000000000006,1,0,0.34959060187602886,-0.2121813168655009,0.7864806862381415,0.0,1.0,0.006266397511233727,0.0,0.0,0.9718958261579653,0.007674466312311979,0.00048348821507528415,0.9447134213132201,1.9,0.9552865786867798
0.45000000000000007,1,0,0.40535568888901863,-0.17962994550298772,0.8189798881488085,0.0,1.0,0.007679623738972074,0.0,0.0,0.9728722585103055,0.007084760660270594,0.00046500844521642535,0.983748982222313,1.9,0.9162510177776869
0.45999999999999996,1,0,0.4631860083572723,-0.14587310893152394,0.8526827642043147,0.0,1.0,0.009802837097515754,0.0,0.0,0.9737983160710609,0.006533952241950022,0.0004475192818285151,1.0242302058500905,1.9,0.8757697941499094
0.47,1,0,0.523198460236542,-0.11084257326590463,0.8876574469034252,0.0,1.0,0.013351840325193405,0.0,0.0,0.9746757857705436,0.006020417868965575,0.0004309854479366436,1.0662389221655793,1.9,0.8337610778344207
0.48,1,0,0.5855189367868645,-0.07446485586052676,0.9239773097063477,0.0,1.0,0.02049170355729551,0.0,0.0,0.9755064296697811,0.005542559337700107,0.00041537203028031483,1.109863255750805,1.9,0.7901367442491949
0.49,1,0,0.6502832041710263,-0.03666071072503296,0.9617214808544827,0.0,1.0,0.04226413290269078,0.0,0.0,0.9762919846543974,0.005098803735424366,0.00040064449785905115,1.1551982429197183,1.9,0.7448017570802816
0.5,1,1,0.3579291210543958,0.0004379000370586805,0.5004877094242717,0.0,1.0,1.0,1.0,0.0030623132213748712,0.9731145219906885,0.00654283590439006,0.00045829369841864006,0.950550384738077,1.900306530025941,0.949756145287864
0.51,1,0,0.6745930759073848,-0.010984706147577183,1.0,0.04019110512305323,1.0,1.0,1.0,0.001744633606532633,0.9773036126103074,0.0046019684687824474,0.0003820745287308769,1.2003489267213066,1.9080382210246105,0.707689294303304
0.52,1,0,0.6369048674763029,-0.021739064115396944,1.0,0.07789849577162038,1.0,1.0,1.0,0.0018117713677316355,0.9775866635573569,0.004503869640636185,0.00037709891740669464,1.2003623542735462,1.9155796991543241,0.7152173448807779
0.53,1,0,0.6006403493929693,-0.03208610345106311,1.0,0.11418296601835477,1.0,1.0,1.0,0.0018816039396345808,0.9778658840341428,0.004407392680422716,0.0003721918151291828,1.2003763207879268,1.922836593203671,0.7224602724157443
0.54,1,0,0.565720520739607,-0.042048359977041816,1.0,0.14912356699669174,1.0,1.0,1.0,0.0019543070770455763,0.978141292934644,0.0043125233441460775,0.00036735286695089214,1.200390861415409,1.9298247133993383,0.7294338519839292
0.55,1,0,0.5320721342353936,-0.05164672243123092,1.0,0.1827936006667254,1.0,1.0,1.0,0.002030072157416492,0.9784129091151895,0.004219247428963471,0.0003625817182848617,1.2004060144314832,1.9365587201333447,0.7361527057018615
0.56,1,0,0.49962718342464196,-0.06090057862231668,1.0,0.2152611331342579,1.0,1.0,1.0,0.0021091079561498262,0.9786807513942144,0.0041275507734283715,0.00035787801491638297,1.20042182159123,1.9430522266268515,0.7426304050356216
0.5700000000000001,1,0,0.4683224439693414,-0.06982794607618503,1.0,0.2465894539362629,1.0,1.0,1.0,0.002191642669615348,0.9789448385520166,0.004037419257733109,0.0003532414030146998,1.200438328533923,1.9493178907872524,0.7488795622533293
0.58,1,0,0.4380990625365595,-0.0784455890248259,1.0,0.2768374878140605,1.0,1.0,1.0,0.00227792622716981,0.9792051893305173,0.003948838803950908,0.000348671529144657,1.200455585245434,1.955367497562812,0.754911912317378
0.59,1,0,0.408902187657751,-0.08676912333420961,1.0,0.3060601646112552,1.0,1.0,1.0,0.0023682329415219295,0.9794618224330165,0.003861795376277375,0.00034416804027828765,1.2004736465883044,1.961212032922251,0.7607383863339467
0.6,1,0,0.3806806376914518,-0.09481311075006493,1.0,0.3343087521818767,1.0,1.0,1.0,0.0024628645566502697,0.9797147565239543,0.003776274981271455,0.000339730583806347,1.20049257291133,1.9668617504363755,0.7663691775250454
0.61,1,0,0.3533866016650056,-0.10259114365395083,1.0,0.36163115655346145,1.0,1.0,1.0,0.002562153764634168,0.9799640102286694,0.0036922636680958194,0.0003353588075497826,1.2005124307529267,1.9723262313106924,0.7718138005577657
0.62,1,0,0.32697536932298554,-0.11011592136123438,1.0,0.3880721930420918,1.0,1.0,1.0,0.002666468277770285,0.9802096021331597,0.0036097475287567224,0.00033105235977115175,1.2005332936555542,1.977614438608418,0.7770811449528638
0.63,1,0,0.3014050871847689,-0.11739931885311994,1.0,0.4136738315469561,1.0,1.0,1.0,0.002776215561036736,0.9804515507838423,0.0035287126983433023,0.00032681088918597775,1.2005552431122073,1.9827347663093913,0.782179523197184
